_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2024-04-13,Florian Badstübner,M'Gladbach,Dortmund,13,11,2,4,18,7,2,1,3,8,16,10,4,3,18,11,BS 23/24
2024-04-13,Felix Zwayer,Mainz 05,Hoffenheim,12,14,9,3,6,16,2,1,5,13,14,17,8,1,25,5,BS 23/24
2024-04-13,Patrick Ittrich,Bochum,Heidenheim,12,21,6,2,10,16,1,0,6,15,26,18,5,3,23,11,BS 23/24
2024-04-13,Frank Willenborg,Bayern Munich,Köln,3,15,5,5,15,24,3,2,8,16,20,17,6,5,16,11,BS 23/24
2024-04-13,Christian Dingert,RB Leipzig,Wolfsburg,12,8,6,4,19,26,0,0,9,7,17,19,6,3,16,10,BS 23/24
2024-04-13,Deniz Aytekin,Stuttgart,Eint Frankfurt,4,15,4,5,16,8,1,0,5,3,13,27,6,3,9,10,BS 23/24
2024-04-14,Sascha Stegemann,Darmstadt 98,Freiburg,6,12,2,2,19,18,0,0,7,12,24,16,4,3,17,9,BS 23/24
2024-04-14,Harm Osmers,Leverkusen,Werder Bremen,10,4,7,0,13,21,5,1,4,4,8,11,9,3,19,7,BS 23/24
2024-04-19,Martin Petersen,Eint Frankfurt,Augsburg,2,19,6,5,14,20,1,3,10,6,34,12,7,1,12,6,BS 23/24
2024-04-20,Tobias Reichel,Wolfsburg,Bochum,11,16,5,8,13,15,3,6,7,6,26,23,5,1,9,13,BS 23/24
2024-04-20,Tobias Welz,Heidenheim,RB Leipzig,13,8,2,6,27,11,1,4,9,6,22,23,4,4,10,12,BS 23/24
2024-04-20,Sören Storks,Hoffenheim,M'Gladbach,6,11,6,5,10,13,1,1,4,15,17,14,9,7,28,13,BS 23/24
2024-04-20,Matthias Jöllenbeck,Köln,Darmstadt 98,10,13,4,3,16,20,7,0,7,18,24,12,4,6,19,12,BS 23/24
2024-04-20,Sven Jablonski,Union Berlin,Bayern Munich,4,4,5,3,22,14,3,2,11,6,19,7,4,9,15,19,BS 23/24
2024-04-21,Robert Schröder,Werder Bremen,Stuttgart,11,10,1,7,19,22,0,3,9,7,11,20,1,5,8,15,BS 23/24
2024-04-21,Daniel Siebert,Dortmund,Leverkusen,14,11,2,6,28,19,0,4,11,4,12,13,2,3,8,13,BS 23/24
2024-04-21,Marco Fritz,Freiburg,Mainz 05,17,15,2,4,16,15,1,1,8,3,16,22,3,3,6,16,BS 23/24
2024-04-26,Tobias Stieler,Bochum,Hoffenheim,13,11,10,4,9,12,2,4,7,13,28,20,12,4,36,10,BS 23/24
2024-04-27,Tobias Welz,Augsburg,Werder Bremen,18,8,6,4,18,15,3,2,11,14,18,22,1,5,13,14,BS 23/24
2024-04-27,Daniel Schlager,Bayern Munich,Eint Frankfurt,11,7,4,2,21,15,1,2,6,10,22,13,7,3,19,10,BS 23/24
2024-04-27,Frank Willenborg,Freiburg,Wolfsburg,13,8,3,6,10,11,3,2,3,8,18,16,3,4,14,12,BS 23/24
2024-04-27,Deniz Aytekin,RB Leipzig,Dortmund,11,8,5,8,20,15,0,1,7,10,15,17,7,5,21,12,BS 23/24
2024-04-27,Felix Zwayer,Leverkusen,Stuttgart,10,19,5,2,14,12,1,2,8,8,19,17,6,4,14,11,BS 23/24
2024-04-28,Sascha Stegemann,M'Gladbach,Union Berlin,3,13,3,4,21,15,0,0,7,6,30,25,4,7,13,14,BS 23/24
2024-04-28,Benjamin Brand,Mainz 05,Köln,17,13,6,6,24,21,1,1,10,6,20,31,4,5,16,15,BS 23/24
2024-04-28,Bastian Dankert,Darmstadt 98,Heidenheim,14,12,3,8,15,11,1,2,10,7,16,29,3,5,11,17,BS 23/24
2024-05-03,Harm Osmers,Hoffenheim,RB Leipzig,6,8,4,4,16,13,0,4,5,15,17,15,8,4,20,8,BS 23/24
