_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2024-02-09,Ricardo de Burgos,Cádiz,Betis,12,10,5,3,15,21,2,0,8,8,24,22,5,5,14,14,LA 23/24
2024-02-10,Mario Melero,Alavés,Villarreal,7,11,10,9,13,11,2,1,10,9,22,15,4,3,17,13,LA 23/24
2024-02-10,Isidro Díaz de Mera,Real Sociedad,Osasuna,11,11,7,4,9,16,1,2,4,14,17,16,3,2,21,9,LA 23/24
2024-02-10,Juan Martínez,Real Madrid,Girona,9,12,0,2,8,10,0,0,9,7,10,16,6,0,15,5,LA 23/24
2024-02-10,Guillermo Cuadra,Las Palmas,Valencia,9,9,5,0,18,21,1,4,7,5,31,24,3,1,8,7,LA 23/24
2024-02-11,Alejandro Hernández,Getafe,Celta Vigo,16,13,0,4,22,20,3,2,6,3,29,29,4,4,11,9,LA 23/24
2024-02-11,José Luis Munuera,Mallorca,Rayo Vallecano,17,11,5,1,18,11,2,1,8,5,18,25,5,4,8,11,LA 23/24
2024-02-11,Javier Villanueva,Sevilla,Atlético Madrid,8,5,2,7,23,15,2,4,10,6,10,26,6,4,10,16,LA 23/24
2024-02-11,Miguel Ángel Ortiz Arias,Barcelona,Granada,13,9,6,2,14,17,3,1,8,9,24,23,5,5,11,11,LA 23/24
2024-02-12,Víctor García,Almería,Athletic Club,17,15,4,10,18,20,2,3,5,4,19,26,4,4,10,12,LA 23/24
