_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,shots_home,shots_away,sot_home,sot_away,league_season
2023-01-21,Federico Dionisi,Fiorentina,Torino,9,23,5,3,13,16,2,6,2,10,22,11,19,9,5,3,SA 22/23
2023-01-22,Maurizio Mariani,Sampdoria,Udinese,15,17,6,6,27,15,4,1,5,7,20,20,9,14,1,5,SA 22/23
2023-01-22,Alessandro Prontera,Monza,Sassuolo,17,18,10,4,15,17,3,0,7,10,24,23,14,13,3,1,SA 22/23
2023-01-22,Simone Sozza,Spezia,Roma,17,11,4,0,22,18,0,1,6,8,27,21,8,13,0,3,SA 22/23
2023-01-22,Livio Marinelli,Juventus,Atalanta,9,6,6,4,17,18,2,0,8,7,17,10,14,14,7,4,SA 22/23
2023-01-23,Matteo Marchetti,Bologna,Cremonese,11,13,4,1,15,13,3,1,8,13,30,19,21,8,8,1,SA 22/23
2023-01-23,Antonio Rapuano,Inter,Empoli,13,16,2,3,23,11,0,0,5,11,17,20,16,13,1,8,SA 22/23
2023-01-24,Marco Di Bello,Lazio,Milan,14,11,3,4,26,16,1,2,3,5,17,18,9,10,4,3,SA 22/23
2023-01-27,Luca Massimi,Bologna,Spezia,8,16,5,5,20,18,4,2,4,7,22,22,18,6,6,4,SA 22/23
2023-01-27,Davide Massa,Lecce,Salernitana,14,11,4,4,22,21,2,2,5,17,19,32,15,10,4,6,SA 22/23
2023-01-28,Matteo Marcenaro,Empoli,Torino,12,9,5,5,15,17,1,1,8,7,29,26,11,16,4,4,SA 22/23
2023-01-28,Maurizio Mariani,Cremonese,Inter,7,12,2,14,8,16,0,3,12,9,12,15,12,30,3,10,SA 22/23
2023-01-28,Daniele Doveri,Atalanta,Sampdoria,17,11,7,4,15,23,1,1,7,12,17,27,21,15,5,5,SA 22/23
2023-01-29,Antonio Giua,Milan,Sassuolo,13,8,2,3,21,18,5,3,1,10,26,20,9,8,5,6,SA 22/23
2023-01-29,Gianluca Aureliano,Juventus,Monza,12,10,12,1,13,22,3,2,1,7,22,21,22,3,8,3,SA 22/23
2023-01-29,Andrea Colombo,Lazio,Fiorentina,12,17,3,4,20,11,1,2,10,9,13,19,13,17,1,6,SA 22/23
2023-01-29,Daniele Orsato,Napoli,Roma,8,14,3,8,18,19,0,0,4,7,21,21,11,11,6,3,SA 22/23
2023-01-30,Luca Pairetto,Udinese,Hellas Verona,9,11,14,6,25,22,0,2,5,6,25,21,26,10,7,2,SA 22/23
2023-02-04,Daniele Orsato,Cremonese,Lecce,12,15,4,8,16,22,2,1,8,7,27,25,12,9,3,4,SA 22/23
2023-02-04,Federico Dionisi,Roma,Empoli,10,18,7,7,23,6,3,0,14,5,14,22,12,11,6,2,SA 22/23
2023-02-04,Matteo Marcenaro,Sassuolo,Atalanta,12,13,2,7,17,13,0,2,8,6,18,24,18,7,8,2,SA 22/23
2023-02-05,Marco Di Bello,Spezia,Napoli,19,18,3,6,21,22,1,4,3,10,7,23,9,11,3,4,SA 22/23
