_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2023-11-11,Marco Piccinini,Juventus,Cagliari,14,8,12,4,12,13,2,1,10,12,25,21,4,2,18,11,SA 23/24
2023-11-11,Daniele Doveri,Monza,Torino,11,11,3,1,11,11,0,1,10,7,14,12,5,5,12,12,SA 23/24
2023-11-12,Alessandro Prontera,Napoli,Empoli,11,13,8,3,18,23,1,5,5,10,32,23,7,3,18,8,SA 23/24
2023-11-12,Fabio Maresca,Fiorentina,Bologna,18,16,0,3,19,22,1,2,6,5,13,24,3,3,11,10,SA 23/24
2023-11-12,Gianluca Aureliano,Udinese,Atalanta,14,13,7,7,30,26,1,2,6,3,19,23,4,2,12,8,SA 23/24
2023-11-12,Davide Massa,Lazio,Roma,12,13,4,1,9,18,0,2,6,6,10,15,2,1,7,8,SA 23/24
2023-11-12,Federico Dionisi,Inter,Frosinone,7,16,9,4,20,9,0,0,3,12,18,20,5,3,20,12,SA 23/24
2023-11-25,Alessandro Prontera,Salernitana,Lazio,11,12,4,9,14,21,2,0,11,6,17,28,6,1,13,12,SA 23/24
2023-11-25,Maurizio Mariani,Atalanta,Napoli,15,9,5,4,13,15,4,3,7,5,28,32,5,3,16,11,SA 23/24
2023-11-25,Marco Di Bello,Milan,Fiorentina,9,10,3,11,24,15,1,1,8,2,22,23,5,4,8,21,SA 23/24
2023-11-26,Matteo Marchetti,Cagliari,Monza,10,15,10,11,13,15,1,2,3,7,10,13,5,4,17,12,SA 23/24
2023-11-26,Luca Zufferli,Frosinone,Genoa,5,14,4,2,17,18,1,0,10,6,22,18,5,3,9,13,SA 23/24
2023-11-26,Simone Sozza,Empoli,Sassuolo,20,15,6,5,17,14,4,0,6,2,18,22,6,8,10,16,SA 23/24
2023-11-26,Luca Massimi,Roma,Udinese,8,15,7,1,25,12,3,1,8,9,17,10,5,2,12,6,SA 23/24
2023-11-26,Marco Guida,Juventus,Inter,12,13,1,0,11,13,0,0,6,5,16,22,1,4,4,8,SA 23/24
2023-11-27,Federico La Penna,Hellas Verona,Lecce,15,17,4,2,13,14,0,1,8,9,24,22,11,5,19,14,SA 23/24
2023-11-27,Andrea Colombo,Bologna,Torino,16,15,3,2,12,17,1,2,7,9,23,25,2,3,13,9,SA 23/24
2023-12-01,Michael Fabbri,Monza,Juventus,12,8,7,3,15,15,0,2,6,8,20,15,1,6,16,17,SA 23/24
2023-12-02,Gianluca Aureliano,Genoa,Empoli,15,19,5,3,17,14,3,0,6,11,22,34,1,1,21,9,SA 23/24
2023-12-02,Federico Dionisi,Lazio,Cagliari,11,12,4,3,16,11,5,1,9,6,15,28,5,2,10,9,SA 23/24
2023-12-02,Matteo Marchetti,Milan,Frosinone,11,6,6,7,24,21,1,0,10,8,17,22,3,3,10,15,SA 23/24
2023-12-03,Daniele Doveri,Lecce,Bologna,12,18,6,3,21,22,0,1,10,6,20,15,3,4,13,11,SA 23/24
2023-12-03,Fabio Maresca,Udinese,Hellas Verona,16,13,5,3,20,21,3,1,6,6,18,27,6,3,12,12,SA 23/24
2023-12-03,Paride Tremolada,Fiorentina,Salernitana,13,12,3,2,31,12,2,3,3,7,16,17,8,1,21,11,SA 23/24
2023-12-03,Matteo Marcenaro,Sassuolo,Roma,10,11,1,11,6,10,0,2,8,6,11,16,2,6,8,14,SA 23/24
2023-12-03,Davide Massa,Napoli,Inter,2,13,6,4,13,19,3,4,7,9,24,14,4,4,15,11,SA 23/24
