_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,shots_home,shots_away,sot_home,sot_away,league_season
2024-02-10,Willy Delajod,Lens,Strasbourg,14,14,4,5,18,24,1,0,6,3,20,15,10,19,6,5,L1 23/24
2024-02-10,François Letexier,Paris S-G,Lille,12,10,6,8,19,18,2,3,4,4,21,22,16,10,8,3,L1 23/24
2024-02-11,Benoît Millot,Le Havre,Rennes,14,7,5,1,15,22,2,2,11,7,21,12,13,11,5,2,L1 23/24
2024-02-11,Stéphanie Frappart,Clermont Foot,Brest,12,13,2,4,10,17,0,1,9,6,16,17,7,16,2,9,L1 23/24
2024-02-11,Marc Bollengier,Lorient,Reims,9,14,1,7,14,15,1,2,14,6,18,26,17,23,5,5,L1 23/24
2024-02-11,Gaël Angoula,Toulouse,Nantes,10,13,12,0,13,19,2,0,2,18,24,10,16,5,3,2,L1 23/24
2024-02-11,Pierre Gaillouste,Montpellier,Lyon,11,11,1,5,16,19,1,1,13,9,18,12,15,19,8,5,L1 23/24
2024-02-11,Eric Wattellier,Nice,Monaco,17,14,8,2,28,26,0,2,3,7,18,21,14,9,4,5,L1 23/24
2024-02-16,Clément Turpin,Lyon,Nice,8,12,4,9,18,20,1,1,9,8,18,20,9,20,1,6,L1 23/24
2024-02-17,Jérémie Pignard,Lille,Le Havre,11,17,1,3,18,17,2,1,4,8,20,22,16,6,7,2,L1 23/24
2024-02-17,Jérôme Brisard,Nantes,Paris S-G,10,12,3,8,23,12,1,0,10,2,14,12,12,11,6,1,L1 23/24
2024-02-18,Thomas Léonard,Strasbourg,Lorient,13,12,9,4,19,15,0,1,2,14,19,14,18,13,4,6,L1 23/24
2024-02-18,Jeremy Stinat,Montpellier,Metz,17,13,7,4,15,22,4,2,8,8,29,19,20,14,6,3,L1 23/24
2024-02-18,Benoît Bastien,Monaco,Toulouse,18,12,4,6,19,26,1,0,5,7,26,14,22,14,5,7,L1 23/24
2024-02-18,Romain Lissorgue,Rennes,Clermont Foot,9,10,4,4,13,19,2,1,7,7,18,8,15,14,7,5,L1 23/24
2024-02-18,Benoît Millot,Reims,Lens,15,9,3,2,15,13,3,4,5,9,26,25,11,9,2,1,L1 23/24
2024-02-18,Ruddy Buquet,Brest,Marseille,14,9,6,4,23,19,2,3,6,11,23,17,15,9,5,2,L1 23/24
2024-02-23,Marc Bollengier,Metz,Lyon,13,12,4,3,23,23,0,1,7,9,23,24,15,11,4,5,L1 23/24
2024-02-24,Willy Delajod,Lorient,Nantes,11,11,3,8,18,24,3,3,5,4,20,17,6,7,1,6,L1 23/24
2024-02-24,Jérôme Brisard,Strasbourg,Brest,21,10,0,4,13,24,1,2,3,4,21,30,6,14,2,7,L1 23/24
2024-02-25,François Letexier,Lens,Monaco,10,13,9,3,18,14,2,2,5,12,25,11,20,14,10,7,L1 23/24
2024-02-25,Mathieu Vernice,Toulouse,Lille,20,10,6,8,24,9,0,1,11,4,17,19,13,12,3,2,L1 23/24
2024-02-25,Hakim Ben El Hadj Salem,Nice,Clermont Foot,8,12,8,1,15,15,1,0,6,13,21,11,23,12,4,4,L1 23/24
2024-02-25,Florent Batta,Le Havre,Reims,11,13,5,5,16,10,1,2,3,7,16,25,16,15,3,4,L1 23/24
2024-02-25,Bastien Dechepy,Paris S-G,Rennes,13,16,4,0,20,26,2,0,4,11,22,10,14,3,2,1,L1 23/24
2024-02-25,Jérémie Pignard,Marseille,Montpellier,8,12,7,4,15,22,0,0,3,14,25,21,15,9,5,4,L1 23/24
2024-03-01,Ruddy Buquet,Monaco,Paris S-G,10,13,5,6,19,13,3,1,9,3,13,31,14,14,6,7,L1 23/24
2024-03-02,Jeremy Stinat,Reims,Lille,12,14,4,4,13,23,0,2,6,4,33,18,8,8,3,3,L1 23/24
2024-03-02,Thomas Léonard,Clermont Foot,Marseille,9,13,7,4,13,17,1,1,4,2,16,16,7,17,2,11,L1 23/24
2024-03-03,Jérémie Pignard,Toulouse,Nice,14,10,7,6,19,14,0,2,3,7,16,23,17,9,6,6,L1 23/24
2024-03-03,Pierre Gaillouste,Brest,Le Havre,21,15,0,2,18,9,0,3,10,10,22,18,9,11,4,2,L1 23/24
2024-03-03,Eric Wattellier,Nantes,Metz,7,11,10,3,15,17,0,1,7,9,26,27,9,12,2,3,L1 23/24
2024-03-03,Stéphanie Frappart,Montpellier,Strasbourg,12,17,8,4,11,13,3,2,7,8,12,13,21,11,6,3,L1 23/24
2024-03-03,Benoît Bastien,Rennes,Lorient,12,9,6,3,14,16,0,4,5,12,22,13,22,12,6,6,L1 23/24
2024-03-03,Jérôme Brisard,Lyon,Lens,5,15,2,4,8,18,2,1,7,8,21,12,13,17,4,7,L1 23/24
2024-03-08,Ruddy Buquet,Nice,Montpellier,13,11,8,5,14,21,1,0,4,6,20,14,19,6,5,1,L1 23/24
2024-03-09,Mathieu Vernice,Lorient,Lyon,10,7,4,7,12,18,1,0,9,9,18,20,9,13,0,6,L1 23/24
